Year,Entity,Gas production(m³),Gas consumption(m³),Coal production(Ton),Coal consumption(Ton),Oil production(m³),Oil consumption(m³),Gas production per capita(m³),Gas consumption per capita(m³),Coal production per capita(Ton),Coal consumption per capita(Ton),Oil production per capita(m³),Oil consumption per capita(m³),Population
1998,Afghanistan,230000000,230000000,2000,2000,0,313600,11.65,11.65,0.0001013,0.0001013,0,0.01589,19740000
1999,Afghanistan,230000000,230000000,1000,1000,0,313600,11.4,11.4,0.00004958,0.00004958,0,0.01555,20170000
2000,Afghanistan,230000000,230000000,1000,1000,0,225400,11.07,11.07,0.00004812,0.00004812,0,0.01085,20780000
2001,Afghanistan,50010000,50010000,26000,26000,0,224200,2.314,2.314,0.001203,0.001203,0,0.01038,21610000
2002,Afghanistan,50010000,50010000,21000,21000,0,189900,2.213,2.213,0.0009292,0.0009292,0,0.008404,22600000
2003,Afghanistan,20000000,20000000,35000,35000,0,273200,0.8447,0.8447,0.001478,0.001478,0,0.01154,23680000
2004,Afghanistan,20000000,20000000,34000,34000,0,251500,0.8089,0.8089,0.001375,0.001375,0,0.01017,24730000
2005,Afghanistan,20000000,20000000,33000,33000,0,379200,0.7797,0.7797,0.001286,0.001286,0,0.01478,25650000
2006,Afghanistan,20000000,20000000,35000,35000,0,483300,0.7567,0.7567,0.001324,0.001324,0,0.01828,26430000
2007,Afghanistan,40000000,40000000,243000,243000,0,528500,1.476,1.476,0.008967,0.008967,0,0.0195,27100000
2008,Afghanistan,50010000,50010000,347000,347000,0,1209000,1.804,1.804,0.01252,0.01252,0,0.0436,27720000
2009,Afghanistan,30000000,30000000,500000,500000,0,2105000,1.057,1.057,0.01761,0.01761,0,0.07414,28390000
2010,Afghanistan,141900000,141900000,725000,725000,0,2483000,4.863,4.863,0.02484,0.02484,0,0.08508,29190000
2011,Afghanistan,161400000,161400000,1480000,1480000,0,3241000,5.36,5.36,0.04914,0.04914,0,0.1076,30120000
2012,Afghanistan,160300000,160300000,1240000,1240000,0,2849000,5.145,5.145,0.03979,0.03979,0,0.09142,31160000
2013,Afghanistan,154500000,154500000,1347000,1347000,0,2037000,4.788,4.788,0.04174,0.04174,0,0.06313,32270000
2014,Afghanistan,141900000,141900000,1517000,1517000,0,1607000,4.253,4.253,0.04547,0.04547,0,0.04816,33370000
2015,Afghanistan,146200000,146200000,1365000,1365000,0,2028000,4.249,4.249,0.03967,0.03967,0,0.05892,34410000
2016,Afghanistan,165300000,165300000,1698000,1698000,0,1486000,4.672,4.672,0.04799,0.04799,0,0.042,35380000
2017,Afghanistan,156100000,156100000,2191000,2191000,0,1372000,4.301,4.301,0.06037,0.06037,0,0.03781,36300000
2018,Afghanistan,153200000,153200000,2445000,2445000,0,1777000,4.122,4.122,0.06578,0.06578,0,0.04781,37170000
2019,Afghanistan,128700000,128700000,2139000,2139000,0,1410000,3.384,3.384,0.05623,0.05623,0,0.03706,38040000
2020,Afghanistan,80210000,80210000,2096000,2096000,0,,2.06,2.06,0.05384,0.05384,0,,38930000
2021,Afghanistan,,,,,,,,,,,,,39840000
1980,Albania,283200000,283200000,1418000,1580000,2555000,2671000,105.6,105.6,0.5286,0.589,0.9524,0.9957,2683000
1981,Albania,311500000,311500000,1540000,1690000,2555000,2555000,113.8,113.8,0.5627,0.6175,0.9335,0.9335,2737000
1982,Albania,283200000,283200000,1700000,1890000,3716000,2497000,101.5,101.5,0.6093,0.6774,1.332,0.8949,2790000
1983,Albania,311500000,311500000,1850000,2050000,4355000,2555000,109.5,109.5,0.6503,0.7206,1.531,0.8981,2845000
1984,Albania,311500000,311500000,2010000,2220000,3194000,2497000,107.3,107.3,0.6921,0.7644,1.1,0.8598,2904000
1985,Albania,283200000,283200000,2150000,2370000,3194000,2439000,95.36,95.36,0.724,0.7981,1.075,0.8213,2970000
1986,Albania,396500000,396500000,2167000,2330000,3194000,2224000,130.2,130.2,0.7119,0.7654,1.049,0.7306,3044000
1987,Albania,453100000,453100000,2134000,2430000,3136000,1969000,145,145,0.6829,0.7776,1.003,0.63,3125000
1988,Albania,708000000,708000000,2184000,2440000,2555000,1835000,221.2,221.2,0.6823,0.7623,0.7982,0.5733,3201000
1989,Albania,708000000,708000000,2193000,2433000,2729000,1568000,217.3,217.3,0.6731,0.7468,0.8377,0.4813,3258000
1990,Albania,254900000,254900000,2071000,2145000,1742000,1160000,77.56,77.56,0.6302,0.6528,0.5301,0.3531,3286000
1991,Albania,141600000,141600000,1087000,1207000,1103000,1041000,43.17,43.17,0.3314,0.3679,0.3363,0.3173,3280000
1992,Albania,102000000,102000000,366000,316000,638800,1186000,31.43,31.43,0.1128,0.09736,0.1968,0.3654,3246000
1993,Albania,29990000,29990000,214000,206000,653900,971000,9.386,9.386,0.06698,0.06447,0.2046,0.3039,3195000
1994,Albania,30020000,30020000,169000,169000,638800,767400,9.54,9.54,0.05371,0.05371,0.203,0.2439,3147000
1995,Albania,30020000,30020000,80000,141000,580700,860200,9.643,9.643,0.0257,0.04529,0.1865,0.2763,3113000
1996,Albania,30000000,30000000,113000,113000,551700,674400,9.683,9.683,0.03647,0.03647,0.178,0.2176,3099000
1997,Albania,20000000,20000000,39000,80500,532300,720700,6.453,6.453,0.01258,0.02597,0.1717,0.2325,3100000
1998,Albania,30000000,30000000,49000,49800,365800,876900,9.645,9.645,0.01575,0.01601,0.1176,0.2819,3111000
1999,Albania,20000000,20000000,49000,61400,323800,534700,6.405,6.405,0.01569,0.01966,0.1037,0.1712,3123000
2000,Albania,30000000,30000000,30000,73000,328400,1270000,9.588,9.588,0.009587,0.02333,0.105,0.4059,3129000
2001,Albania,30000000,30000000,21000,81000,345600,1345000,9.587,9.587,0.00671,0.02588,0.1104,0.4298,3130000
2002,Albania,30000000,30000000,15000,62000,369400,1561000,9.598,9.598,0.004798,0.01983,0.1182,0.4993,3126000
2003,Albania,30000000,30000000,58000,64000,390100,1586000,9.623,9.623,0.0186,0.02053,0.1251,0.5085,3118000
2004,Albania,30000000,30000000,58000,59000,388700,1768000,9.663,9.663,0.01868,0.019,0.1252,0.5693,3105000
2005,Albania,30000000,30000000,45000,54000,406500,1776000,9.72,9.72,0.01458,0.01749,0.1317,0.5754,3087000
2006,Albania,30000000,30000000,45000,80750,449600,1657000,9.795,9.795,0.01469,0.02636,0.1468,0.5409,3063000
2007,Albania,10000000,10000000,45000,107500,372800,1616000,3.296,3.296,0.01483,0.03543,0.1229,0.5328,3034000
2008,Albania,30000000,30000000,61000,134300,348400,1590000,9.992,9.992,0.02032,0.04471,0.116,0.5296,3003000
2009,Albania,30000000,30000000,10000,161000,309400,1552000,10.09,10.09,0.003364,0.05415,0.1041,0.522,2973000
2010,Albania,10000000,10000000,10000,147000,629700,1507000,3.393,3.393,0.003392,0.04987,0.2136,0.5112,2948000
2011,Albania,10000000,10000000,5000,133000,901000,1494000,3.415,3.415,0.001707,0.04542,0.3076,0.5103,2929000
2012,Albania,17000000,17000000,7000,119000,977700,1315000,5.834,5.834,0.002402,0.04084,0.3355,0.4511,2914000
2013,Albania,19000000,19000000,9000,105000,987700,1578000,6.544,6.544,0.003099,0.03617,0.3401,0.5434,2904000
2014,Albania,32000000,32000000,16650,131100,1191000,1634000,11.05,11.05,0.005749,0.04526,0.4112,0.564,2896000
2015,Albania,35000000,35000000,24300,112000,1171000,1513000,12.11,12.11,0.008407,0.03876,0.405,0.5236,2891000
2016,Albania,45010000,45010000,14000,87000,1321000,1578000,15.59,15.59,0.00485,0.03014,0.4577,0.5466,2886000
2017,Albania,50010000,50010000,13880,94330,987200,2051000,17.34,17.34,0.004812,0.03271,0.3423,0.7112,2884000
2018,Albania,42930000,42930000,11430,90960,929100,1919000,14.89,14.89,0.003966,0.03155,0.3223,0.6658,2883000
2019,Albania,42060000,42060000,9538,104000,1045000,1533000,14.6,14.6,0.003311,0.03609,0.3628,0.532,2881000
2020,Albania,,,9161,119400,1002000,,,,0.003183,0.0415,0.3483,,2878000
2021,Albania,,,,,,,,,,,,,2873000
1973,Algeria,,,,,63700000,,,,,,4.055,,15710000
1974,Algeria,,,,,58580000,,,,,,3.628,,16150000
1975,Algeria,,,,,57080000,,,,,,3.437,,16610000
1976,Algeria,,,,,62440000,,,,,,3.655,,17090000
1977,Algeria,,,,,66890000,,,,,,3.804,,17580000
1978,Algeria,,,,,71490000,,,,,,3.949,,18100000
1979,Algeria,,,,,71090000,,,,,,3.812,,18650000
1980,Algeria,11640000000,13030000000,3000,92870,64220000,7026000,605.5,677.7,0.0001561,0.004832,3.341,0.3655,19220000
1981,Algeria,21860000000,9799000000,9500,279100,58190000,7375000,1103,494.3,0.0004792,0.01408,2.935,0.372,19820000
1982,Algeria,26680000000,15660000000,16000,746000,57290000,8304000,1304,765.7,0.0007823,0.03647,2.801,0.406,20450000
1983,Algeria,37210000000,18580000000,22500,1210000,55820000,7898000,1763,880.4,0.001066,0.05733,2.645,0.3743,21100000
1984,Algeria,38520000000,19260000000,22750,1247000,58910000,8710000,1770,884.9,0.001045,0.0573,2.707,0.4002,21760000
1985,Algeria,38520000000,16540000000,23000,1247000,60160000,9582000,1717,737.3,0.001025,0.0556,2.682,0.4271,22430000
1986,Algeria,37670000000,17050000000,11000,1260000,62250000,9651000,1630,738,0.0004761,0.05453,2.695,0.4178,23100000
1987,Algeria,43190000000,18580000000,9500,1277000,62210000,9721000,1817,781.4,0.0003996,0.05371,2.617,0.4089,23770000
1988,Algeria,46300000000,20160000000,10000,1296000,60680000,10030000,1894,824.9,0.0004091,0.05301,2.483,0.4103,24440000
1989,Algeria,48400000000,18690000000,9000,1313000,64200000,10620000,1928,744.5,0.0003585,0.05231,2.557,0.423,25110000
1990,Algeria,50610000000,19290000000,10750,1222000,68530000,11240000,1965,748.7,0.0004173,0.04744,2.66,0.4362,25760000
1991,Algeria,54740000000,21950000000,12500,1131000,67940000,12080000,2074,831.3,0.0004735,0.04284,2.574,0.4577,26400000
1992,Algeria,55810000000,20670000000,15000,1049000,69780000,12220000,2065,764.9,0.000555,0.03879,2.582,0.4523,27030000
1993,Algeria,53870000000,18550000000,20000,823900,67790000,11970000,1949,671.3,0.0007237,0.02981,2.453,0.4333,27640000
1994,Algeria,51170000000,19550000000,23000,840000,67070000,11820000,1814,693,0.0008152,0.02977,2.377,0.4191,28210000
1995,Algeria,58110000000,21010000000,22000,502000,67470000,11880000,2021,730.7,0.000765,0.01746,2.346,0.4129,28760000
1996,Algeria,62140000000,21580000000,12000,522300,71260000,11510000,2123,737.5,0.00041,0.01785,2.435,0.3933,29270000
1997,Algeria,68910000000,20160000000,11000,563000,73100000,11580000,2317,677.9,0.0003698,0.01893,2.458,0.3895,29740000
1998,Algeria,73760000000,20850000000,5500,633500,71220000,12010000,2443,690.6,0.0001822,0.02098,2.359,0.3979,30190000
1999,Algeria,81440000000,21310000000,900,632900,68370000,11480000,2659,696,0.00002939,0.02067,2.232,0.3749,30620000
2000,Algeria,83250000000,20560000000,0,589200,70490000,13020000,2682,662.4,0,0.01898,2.271,0.4195,31040000
2001,Algeria,78930000000,20440000000,0,547000,73460000,13260000,2510,650,0,0.01739,2.336,0.4217,31450000
2002,Algeria,79260000000,20410000000,0,315600,78340000,14380000,2488,640.8,0,0.009907,2.459,0.4514,31860000
2003,Algeria,80710000000,20520000000,0,369800,88040000,14670000,2502,636.1,0,0.01146,2.729,0.4546,32260000
2004,Algeria,80160000000,19280000000,0,381700,91850000,15250000,2452,589.8,0,0.01167,2.81,0.4665,32690000
2005,Algeria,89250000000,23970000000,0,376900,98270000,15340000,2692,723,0,0.01137,2.965,0.4626,33150000
2006,Algeria,87210000000,25600000000,0,249600,98660000,15540000,2592,761.1,0,0.007418,2.933,0.4621,33640000
2007,Algeria,84840000000,26460000000,0,255200,99210000,16020000,2483,774.4,0,0.007468,2.904,0.469,34170000
2008,Algeria,86520000000,27680000000,0,261000,99010000,18220000,2491,796.9,0,0.007514,2.851,0.5247,34730000
2009,Algeria,81440000000,28760000000,0,166200,92030000,20280000,2305,813.9,0,0.004704,2.605,0.5738,35330000
2010,Algeria,84620000000,28820000000,0,1694,89430000,20170000,2352,801.2,0,0.00004709,2.486,0.5607,35980000
2011,Algeria,82780000000,32880000000,0,2000,89430000,20300000,2258,897,0,0.00005454,2.439,0.5537,36660000
2012,Algeria,86460000000,35850000000,0,15770,88980000,21710000,2313,958.9,0,0.0004218,2.38,0.5806,37380000
2013,Algeria,79660000000,32950000000,0,45830,84890000,23250000,2089,864,0,0.001202,2.226,0.6095,38140000
2014,Algeria,83310000000,39110000000,0,30390,82460000,24130000,2140,1005,0,0.0007808,2.118,0.62,38920000
2015,Algeria,83050000000,39630000000,0,21010,82980000,25040000,2090,997.4,0,0.0005287,2.089,0.6304,39730000
2016,Algeria,93800000000,39770000000,0,20930,78300000,24430000,2313,980.8,0,0.0005161,1.931,0.6025,40550000
2017,Algeria,93510000000,41280000000,0,33640,75590000,23660000,2259,997.4,0,0.0008128,1.826,0.5716,41390000
2018,Algeria,94440000000,44810000000,0,14940,73090000,24280000,2236,1061,0,0.0003539,1.731,0.575,42230000
2019,Algeria,87860000000,46950000000,0,14760,73110000,26160000,2041,1091,0,0.0003428,1.698,0.6077,43050000
2020,Algeria,,,0,23960,65180000,,,,0,0.0005463,1.486,,43850000
2021,Algeria,,,,,,,,,,,,,44620000
1980,American Samoa,0,0,0,0,0,162600,0,0,0,0,0,4.997,32540
1981,American Samoa,0,0,0,0,0,191600,,,,,,,
1982,American Samoa,0,0,0,0,0,267100,,,,,,,
1983,American Samoa,0,0,0,0,0,168400,,,,,,,
1984,American Samoa,0,0,0,0,0,191600,,,,,,,
1985,American Samoa,0,0,0,0,0,180000,,,,,,,
1986,American Samoa,0,0,0,0,0,185800,,,,,,,
1987,American Samoa,0,0,0,0,0,192900,,,,,,,
1988,American Samoa,0,0,0,0,0,187100,,,,,,,
1989,American Samoa,0,0,0,0,0,216600,,,,,,,
1990,American Samoa,0,0,0,0,0,228200,0,0,0,0,0,4.844,47110
1991,American Samoa,0,0,0,0,0,228200,,,,,,,
1992,American Samoa,0,0,0,0,0,234000,,,,,,,
1993,American Samoa,0,0,0,0,0,228200,,,,,,,
1994,American Samoa,0,0,0,0,0,222400,,,,,,,
1995,American Samoa,0,0,0,0,0,216600,,,,,,,
1996,American Samoa,0,0,0,0,0,216500,,,,,,,
1997,American Samoa,0,0,0,0,0,222400,,,,,,,
1998,American Samoa,0,0,0,0,0,222400,,,,,,,
1999,American Samoa,0,0,0,0,0,222400,,,,,,,
2000,American Samoa,0,0,0,0,0,217400,0,0,0,0,0,3.811,57050
2001,American Samoa,0,0,0,0,0,218000,0,0,0,0,0,3.729,58460
2002,American Samoa,0,0,0,0,0,221700,0,0,0,0,0,3.703,59860
2003,American Samoa,0,0,0,0,0,221700,0,0,0,0,0,3.618,61270
2004,American Samoa,0,0,0,0,0,221100,0,0,0,0,0,3.527,62670
2005,American Samoa,0,0,0,0,0,236100,0,0,0,0,0,3.685,64080
2006,American Samoa,0,0,0,0,0,240400,0,0,0,0,0,3.671,65480
2007,American Samoa,0,0,0,0,0,240400,0,0,0,0,0,3.594,66880
2008,American Samoa,0,0,0,0,0,240400,0,0,0,0,0,3.52,68290
2009,American Samoa,0,0,0,0,0,240400,0,0,0,0,0,3.45,69690
2010,American Samoa,0,0,0,0,0,240400,0,0,0,0,0,3.381,71100
2011,American Samoa,0,0,0,0,0,136200,0,0,0,0,0,1.882,72370
2012,American Samoa,0,0,0,0,0,136200,0,0,0,0,0,1.85,73650
2013,American Samoa,0,0,0,0,0,136200,0,0,0,0,0,1.818,74920
2014,American Samoa,0,0,0,0,0,136200,0,0,0,0,0,1.788,76190
2015,American Samoa,0,0,0,0,0,136200,0,0,0,0,0,1.758,77470
2016,American Samoa,0,0,0,0,0,136200,0,0,0,0,0,1.73,78740
2017,American Samoa,0,0,0,0,0,136200,0,0,0,0,0,1.702,80020
2018,American Samoa,0,0,0,0,0,136200,,,,,,,
2019,American Samoa,0,0,0,0,0,136200,,,,,,,
2020,American Samoa,0,0,0,0,0,,,,,,,,
2021,American Samoa,,,,,,,,,,,,,
1973,Angola,,,,,9407000,,,,,,1.448,,6497000
1974,Angola,,,,,9814000,,,,,,1.451,,6762000
1975,Angola,,,,,9582000,,,,,,1.364,,7024000
1976,Angola,,,,,6272000,,,,,,0.8615,,7280000
1977,Angola,,,,,11270000,,,,,,1.495,,7534000
1978,Angola,,,,,7607000,,,,,,0.9764,,7791000
1979,Angola,,,,,8536000,,,,,,1.059,,8058000
1980,Angola,260500000,260500000,0,0,8710000,1161000,31.24,31.24,0,0,1.044,0.1392,8341000
1981,Angola,249200000,249200000,0,0,7549000,1161000,28.84,28.84,0,0,0.8737,0.1344,8640000
1982,Angola,283200000,283200000,0,0,7085000,1219000,31.63,31.63,0,0,0.7913,0.1362,8953000
1983,Angola,339800000,339800000,0,0,10280000,1278000,36.63,36.63,0,0,1.108,0.1377,9278000
1984,Angola,339800000,339800000,0,0,12080000,1103000,35.35,35.35,0,0,1.256,0.1148,9615000
1985,Angola,368200000,368200000,0,0,13410000,1452000,36.96,36.96,0,0,1.347,0.1457,9962000
1986,Angola,396500000,396500000,0,0,16380000,1382000,38.42,38.42,0,0,1.587,0.1339,10320000
1987,Angola,453100000,453100000,0,0,20910000,1388000,42.39,42.39,0,0,1.956,0.1298,10690000
1988,Angola,509800000,509800000,0,0,26250000,1394000,46.06,46.06,0,0,2.372,0.1259,11070000
1989,Angola,424800000,424800000,0,0,26420000,1411000,37.08,37.08,0,0,2.307,0.1232,11450000
1990,Angola,538100000,538100000,0,0,27580000,1411000,45.41,45.41,0,0,2.328,0.1191,11850000
1991,Angola,566400000,566400000,0,0,29040000,1481000,46.24,46.24,0,0,2.37,0.1209,12250000
1992,Angola,570100000,570100000,0,0,30560000,1481000,45.04,45.04,0,0,2.415,0.117,12660000
1993,Angola,560100000,560100000,0,0,29560000,1440000,42.83,42.83,0,0,2.261,0.1101,13080000
1994,Angola,520000000,520000000,0,0,31150000,1423000,38.5,38.5,0,0,2.307,0.1054,13500000
1995,Angola,560100000,560100000,0,0,37530000,1533000,40.16,40.16,0,0,2.691,0.1099,13950000
1996,Angola,560100000,560100000,0,0,41160000,1440000,38.89,38.89,0,0,2.858,0.1,14400000
1997,Angola,570100000,570100000,0,0,41450000,1730000,38.33,38.33,0,0,2.787,0.1164,14870000
1998,Angola,580100000,580100000,0,0,42690000,1475000,37.77,37.77,0,0,2.779,0.09603,15360000
1999,Angola,560100000,560100000,0,0,43260000,1818000,35.3,35.3,0,0,2.726,0.1146,15870000
2000,Angola,570100000,570100000,0,0,43340000,2247000,34.77,34.77,0,0,2.644,0.1371,16400000
2001,Angola,530100000,530100000,0,0,43110000,2531000,31.28,31.28,0,0,2.544,0.1494,16950000
2002,Angola,620100000,620100000,0,0,52050000,2634000,35.39,35.39,0,0,2.971,0.1503,17520000
2003,Angola,650100000,650100000,0,0,52410000,2943000,35.87,35.87,0,0,2.892,0.1624,18120000
2004,Angola,750100000,750100000,0,0,61070000,3147000,39.99,39.99,0,0,3.256,0.1678,18760000
2005,Angola,650100000,650100000,0,0,71960000,2447000,33.45,33.45,0,0,3.703,0.1259,19430000
2006,Angola,680100000,680100000,0,0,81180000,3298000,33.75,33.75,0,0,4.029,0.1637,20150000
2007,Angola,830100000,830100000,0,0,100100000,3918000,39.71,39.71,0,0,4.788,0.1874,20910000
2008,Angola,680100000,680100000,0,0,113300000,4806000,31.35,31.35,0,0,5.221,0.2215,21700000
2009,Angola,690100000,690100000,0,0,109000000,5730000,30.65,30.65,0,0,4.841,0.2545,22510000
2010,Angola,734100000,734100000,0,0,110800000,6211000,31.43,31.43,0,0,4.745,0.2659,23360000
2011,Angola,752100000,752100000,0,0,101900000,6502000,31.05,31.05,0,0,4.209,0.2685,24220000
2012,Angola,760100000,760100000,0,0,103800000,6957000,30.27,30.27,0,0,4.133,0.2771,25110000
2013,Angola,925100000,408000000,0,0,104700000,8057000,35.56,15.68,0,0,4.024,0.3097,26020000
2014,Angola,731100000,231000000,0,0,101100000,9225000,27.14,8.575,0,0,3.754,0.3424,26940000
2015,Angola,773100000,773100000,0,0,104600000,9102000,27.72,27.72,0,0,3.752,0.3264,27880000
2016,Angola,1713000000,803100000,0,0,102800000,7964000,59.4,27.84,0,0,3.563,0.2761,28840000
2017,Angola,3103000000,813100000,0,0,96750000,7034000,104.1,27.27,0,0,3.245,0.2359,29820000
2018,Angola,6161000000,856000000,0,0,92510000,6409000,200,27.78,0,0,3.003,0.208,30810000
2019,Angola,6768000000,861000000,0,0,84060000,7744000,212.7,27.05,0,0,2.641,0.2433,31830000
2020,Angola,,,0,0,72970000,,,,0,0,2.22,,32870000
2021,Angola,,,,,,,,,,,,,33930000
1980,Antarctica,0,0,0,0,0,58070,,,,,,,
1981,Antarctica,0,0,0,0,0,58070,,,,,,,
1982,Antarctica,0,0,0,0,0,58070,,,,,,,
1983,Antarctica,0,0,0,0,0,58070,,,,,,,
1984,Antarctica,0,0,0,0,0,75490,,,,,,,
1985,Antarctica,0,0,0,0,0,81300,,,,,,,
1986,Antarctica,0,0,0,0,0,75490,,,,,,,
1987,Antarctica,0,0,0,0,0,75490,,,,,,,
1988,Antarctica,0,0,0,0,0,81300,,,,,,,
1989,Antarctica,0,0,0,0,0,75490,,,,,,,
1990,Antarctica,0,0,0,0,0,81300,,,,,,,
1991,Antarctica,0,0,0,0,0,81300,,,,,,,
1992,Antarctica,0,0,0,0,0,81300,,,,,,,
1993,Antarctica,0,0,0,0,0,81300,,,,,,,
1994,Antarctica,0,0,0,0,0,81300,,,,,,,
1995,Antarctica,0,0,0,0,0,87100,,,,,,,
1996,Antarctica,0,0,0,0,0,87100,,,,,,,
1997,Antarctica,0,0,0,0,0,87100,,,,,,,
1998,Antarctica,0,0,0,0,0,87100,,,,,,,
1999,Antarctica,0,0,0,0,0,87100,,,,,,,
2000,Antarctica,0,0,0,0,0,86400,,,,,,,
2001,Antarctica,0,0,0,0,0,89010,,,,,,,
2002,Antarctica,0,0,0,0,0,89010,,,,,,,
2003,Antarctica,0,0,0,0,0,89010,,,,,,,
2004,Antarctica,0,0,0,0,0,89950,,,,,,,
2005,Antarctica,0,0,0,0,0,90200,,,,,,,
2006,Antarctica,0,0,0,0,0,90200,,,,,,,
2007,Antarctica,0,0,0,0,0,91390,,,,,,,
2008,Antarctica,0,0,0,0,0,3910,,,,,,,
2009,Antarctica,0,0,0,0,0,5037,,,,,,,
2010,Antarctica,0,0,0,0,0,5037,,,,,,,
2011,Antarctica,0,0,0,0,0,5037,,,,,,,
2012,Antarctica,0,0,0,0,0,5037,,,,,,,
2013,Antarctica,0,0,0,0,0,5037,,,,,,,
2014,Antarctica,0,0,0,0,0,5037,,,,,,,
2015,Antarctica,0,0,0,0,0,5037,,,,,,,
2016,Antarctica,0,0,0,0,0,5037,,,,,,,
2017,Antarctica,0,0,0,0,0,4916,,,,,,,
2018,Antarctica,0,0,0,0,0,4916,,,,,,,
2019,Antarctica,0,0,0,0,0,4916,,,,,,,
2020,Antarctica,0,0,0,0,0,,,,,,,,
2021,Antarctica,,,,,,,,,,,,,
1980,Antigua and Barbuda,0,0,0,0,0,162600,0,0,0,0,0,2.628,61860
1981,Antigua and Barbuda,0,0,0,0,0,145200,0,0,0,0,0,2.35,61790
1982,Antigua and Barbuda,0,0,0,0,0,197400,0,0,0,0,0,3.196,61780
1983,Antigua and Barbuda,0,0,0,0,0,116100,0,0,0,0,0,1.88,61780
1984,Antigua and Barbuda,0,0,0,0,0,127800,0,0,0,0,0,2.068,61780
1985,Antigua and Barbuda,0,0,0,0,0,127800,0,0,0,0,0,2.068,61780
1986,Antigua and Barbuda,0,0,0,0,0,129900,0,0,0,0,0,2.103,61750
1987,Antigua and Barbuda,0,0,0,0,0,161700,0,0,0,0,0,2.62,61710
1988,Antigua and Barbuda,0,0,0,0,0,161700,0,0,0,0,0,2.618,61760
1989,Antigua and Barbuda,0,0,0,0,0,161700,0,0,0,0,0,2.608,62010
1990,Antigua and Barbuda,0,0,0,0,0,167500,0,0,0,0,0,2.679,62530
1991,Antigua and Barbuda,0,0,0,0,0,167500,0,0,0,0,0,2.644,63360
1992,Antigua and Barbuda,0,0,0,0,0,167500,0,0,0,0,0,2.599,64460
1993,Antigua and Barbuda,0,0,0,0,0,167500,0,0,0,0,0,2.547,65780
1994,Antigua and Barbuda,0,0,0,0,0,179100,0,0,0,0,0,2.666,67200
1995,Antigua and Barbuda,0,0,0,0,0,190700,0,0,0,0,0,2.778,68670
1996,Antigua and Barbuda,0,0,0,0,0,190700,0,0,0,0,0,2.718,70180
1997,Antigua and Barbuda,0,0,0,0,0,196600,0,0,0,0,0,2.741,71710
1998,Antigua and Barbuda,0,0,0,0,0,196600,0,0,0,0,0,2.684,73220
1999,Antigua and Barbuda,0,0,0,0,0,196600,0,0,0,0,0,2.632,74670
2000,Antigua and Barbuda,0,0,0,0,0,204400,0,0,0,0,0,2.69,76010
2001,Antigua and Barbuda,0,0,0,0,0,205000,0,0,0,0,0,2.655,77210
2002,Antigua and Barbuda,0,0,0,0,0,219600,0,0,0,0,0,2.805,78300
2003,Antigua and Barbuda,0,0,0,0,0,230500,0,0,0,0,0,2.906,79310
2004,Antigua and Barbuda,0,0,0,0,0,238200,0,0,0,0,0,2.964,80350
